	12500	12500	
(21, 30, 6, 22)	2	0	-2	
(21, 30, 10, 3)	18	2	-16	
(25, 18, 0, 3)	0	1	1	
(7, 21, 3)	1	0	-1	
(0, 30, 4, 7)	0	3	3	
(1, 22, 30, 21)	9	4	-5	
(3, 30, 25, 0)	10	5	-5	
(10, 25, 30)	3	3	0	
(0, 5, 0)	0	1	1	
(7, 11)	11	17	6	
(28, 12, 30, 21)	0	1	1	
(17, 24, 30, 15)	0	1	1	
(9, 30, 4, 30)	15	62	47	
(21, 1, 30, 17)	13	6	-7	
(17, 0, 30, 21)	46	96	50	
(21, 30, 3, 11)	3	1	-2	
(30, 18, 22, 30)	5	2	-3	
(6, 2, 24)	1	0	-1	
(30, 21, 1, 21)	12	3	-9	
(2, 25, 30, 21)	3	1	-2	
(30, 23, 30, 10)	7	8	1	
(3, 30, 18, 26)	1	0	-1	
(17, 19, 30, 4)	5	6	1	
(21, 30, 23, 30)	213	227	14	
(7, 30, 3, 4)	1	0	-1	
(30, 15, 30, 20)	2	2	0	
(2, 22, 30)	1	2	1	
(14, 7, 24)	0	1	1	
(4, 17, 30)	1014	956	-58	
(17, 18, 0, 2)	1	2	1	
(12, 27, 8)	0	1	1	
(19, 30, 27)	27	48	21	
(11, 30, 0)	51	92	41	
(0, 25, 30, 18)	0	1	1	
(7, 30, 4, 18)	0	1	1	
(30, 21, 6, 2)	2	0	-2	
(0, 30, 2, 2)	2	22	20	
(30, 19, 17, 18)	1	2	1	
(4, 4, 30, 17)	18	9	-9	
(12, 15, 30, 11)	2	0	-2	
(3, 30, 3, 26)	8	16	8	
(21, 30, 5, 30)	1328	1239	-89	
(18, 7, 7)	0	2	2	
(0, 6, 30, 22)	1	0	-1	
(1, 30, 21, 2)	1	1	0	
(16, 30, 11, 21)	0	1	1	
(21, 30, 9, 17)	2	3	1	
(25, 8, 7, 30)	1	0	-1	
(24, 30, 18)	40	43	3	
(26, 21, 30, 24)	0	2	2	
(30, 18, 0, 24)	0	2	2	
(18, 7, 10, 21)	1	0	-1	
(17, 30, 0, 8)	4	2	-2	
(6, 1, 30)	4	0	-4	
(30, 11, 11, 17)	1	0	-1	
(30, 25, 30, 17)	877	985	108	
(18, 7, 30, 10)	2	5	3	
(18, 7, 19, 30)	4	7	3	
(1, 1)	187	7	-180	
(30, 7, 21, 3)	1	0	-1	
(3, 30, 21, 2)	9	5	-4	
(27, 4, 30, 8)	2	1	-1	
(30, 10, 30, 2)	24	22	-2	
(17, 10, 21)	2	9	7	
(11, 21, 30, 15)	1	0	-1	
(9, 30, 12, 1)	1	0	-1	
(26, 30, 17, 21)	1	6	5	
(7, 30, 7, 2)	1	0	-1	
(25, 4, 30, 21)	1	3	2	
(5, 30)	6254	6053	-201	
(7, 3, 12, 30)	0	1	1	
(27, 30, 18, 6)	2	0	-2	
(18, 25, 30, 26)	0	1	1	
(22, 22, 12, 30)	1	0	-1	
(22, 12, 1, 30)	1	0	-1	
(21, 23, 30, 21)	2	1	-1	
(12, 2, 30, 17)	2	0	-2	
(19, 30, 16)	1	2	1	
(25, 11, 4, 17)	1	0	-1	
(12, 30, 4, 21)	84	68	-16	
(11, 30, 9)	5	17	12	
(4, 30, 13, 17)	2	2	0	
(10, 17, 1)	1	0	-1	
(21, 30, 0, 26)	3	2	-1	
(30, 28, 22)	0	1	1	
(30, 25, 0, 7)	0	1	1	
(21, 7, 30, 22)	1	4	3	
(23, 18)	1	3	2	
(22, 0, 30, 21)	1	0	-1	
(26, 30, 3, 27)	0	2	2	
(10, 14, 30, 12)	0	1	1	
(3, 9, 30, 17)	1	0	-1	
(17, 30, 7, 12)	1	0	-1	
(12, 14, 21)	1	0	-1	
(2, 30, 15)	28	19	-9	
(30, 17, 5, 17)	2	3	1	
(1, 30, 17, 0)	6	2	-4	
(4, 30, 8, 4)	15	5	-10	
(30, 11, 16)	0	2	2	
(12, 25, 30, 1)	1	1	0	
(24, 30, 5)	30	33	3	
(23, 9, 30)	1	0	-1	
(12, 1, 30, 27)	2	1	-1	
(21, 3, 14)	1	0	-1	
(30, 20, 12)	0	1	1	
(1, 4, 21, 30)	47	12	-35	
(4, 30, 3, 22)	0	2	2	
(21, 22, 30, 9)	0	1	1	
(8, 4, 30, 13)	3	2	-1	
(25, 14, 30, 12)	1	0	-1	
(7, 21, 17)	10	8	-2	
(30, 7, 17, 1)	2	0	-2	
(0, 30, 12, 3)	0	2	2	
(3, 22, 21, 30)	2	5	3	
(3, 30, 17, 4)	23	15	-8	
(0, 19, 4, 21)	0	1	1	
(21, 17, 30, 6)	9	18	9	
(25, 17, 30, 3)	78	63	-15	
(27, 30, 21, 14)	1	1	0	
(17, 30, 1, 27)	6	0	-6	
(22, 30, 21, 0)	2	17	15	
(4, 3, 21, 30)	2	5	3	
(17, 3, 30, 17)	11	16	5	
(4, 30, 14, 3)	1	1	0	
(21, 30, 15, 18)	3	1	-2	
(7, 8, 30, 5)	2	0	-2	
(7, 14, 17)	0	1	1	
(30, 11, 28, 17)	1	0	-1	
(21, 25, 5, 30)	1	0	-1	
(11, 3, 14)	0	1	1	
(1, 19, 4)	1	0	-1	
(30, 8, 30, 10)	19	32	13	
(9, 9, 30)	4	2	-2	
(2, 0, 3, 4)	0	1	1	
(19, 30, 7, 4)	8	11	3	
(19, 30, 9)	2	9	7	
(30, 7, 7, 21)	4	6	2	
(10, 17, 22)	1	0	-1	
(27, 21, 30, 7)	6	4	-2	
(8, 30, 21, 4)	1	1	0	
(30, 3, 17, 7)	7	10	3	
(30, 7, 19, 0)	0	1	1	
(3, 17, 27)	0	1	1	
(0, 6, 30, 12)	2	0	-2	
(4, 12, 21)	22	7	-15	
(2, 17, 7, 30)	1	1	0	
(3, 26, 17, 6)	0	1	1	
(21, 18, 30, 22)	3	2	-1	
(7, 30, 0, 27)	2	1	-1	
(4, 21, 6, 30)	2	1	-1	
(25, 7, 21, 0)	1	0	-1	
(17, 18, 18, 11)	1	0	-1	
(1, 30, 1, 19)	1	1	0	
(4, 4, 22)	9	10	1	
(3, 1, 30)	31	4	-27	
(6, 19, 30, 2)	1	0	-1	
(2, 30, 6)	74	109	35	
(4, 30, 12, 30)	618	453	-165	
(7, 30, 9, 3)	0	1	1	
(30, 11, 9)	1	0	-1	
(0, 30, 1, 21)	8	6	-2	
(21, 21)	1566	1590	24	
(5, 30, 8, 17)	2	0	-2	
(30, 20, 30, 23)	2	3	1	
(17, 30, 8, 4)	12	10	-2	
(21, 3, 21)	15	16	1	
(30, 2, 19, 21)	1	2	1	
(17, 30, 4, 17)	86	77	-9	
(13, 2, 30)	2	0	-2	
(30, 17, 6, 4)	0	1	1	
(30, 21, 12, 3)	1	2	1	
(21, 3, 17, 30)	12	7	-5	
(23, 17, 30, 4)	0	1	1	
(16, 14, 30, 3)	0	1	1	
(19, 30, 12, 17)	9	7	-2	
(17, 30, 17, 22)	3	7	4	
(7, 11, 17, 30)	0	3	3	
(27, 30, 17, 8)	0	1	1	
(9, 2)	2	3	1	
(17, 18, 7, 30)	6	12	6	
(22, 30, 17, 30)	182	315	133	
(30, 21, 21, 27)	3	8	5	
(25, 21, 2)	1	0	-1	
(5, 21, 30, 0)	6	7	1	
(7, 14, 30)	4	3	-1	
(6, 6, 30, 25)	2	0	-2	
(22, 30, 15)	12	12	0	
(19, 30, 17, 12)	2	1	-1	
(17, 30, 10, 5)	1	2	1	
(14, 12, 30, 8)	1	0	-1	
(2, 18, 30, 19)	1	1	0	
(18, 11, 30, 8)	2	0	-2	
(4, 30, 5, 13)	1	1	0	
(17, 30, 6, 18)	1	1	0	
(30, 3, 21, 13)	7	4	-3	
(3, 17, 18)	19	27	8	
(30, 21, 10, 12)	1	0	-1	
(7, 11, 3, 30)	0	1	1	
(17, 18, 13)	0	1	1	
(7, 2, 30, 9)	1	1	0	
(22, 30, 7, 30)	45	71	26	
(2, 17, 0, 24)	0	2	2	
(7, 17, 30, 0)	1	4	3	
(12, 30, 23, 21)	3	5	2	
(18, 1, 22, 21)	2	0	-2	
(25, 7, 30)	9	8	-1	
(3, 1, 21)	1	0	-1	
(30, 7, 4, 24)	1	0	-1	
(30, 25, 17, 3)	3	5	2	
(18, 0, 3, 17)	1	7	6	
(18, 7, 21, 30)	32	42	10	
(21, 0, 30, 16)	0	2	2	
(30, 11, 2)	0	1	1	
(30, 17, 1, 8)	4	2	-2	
(27, 30, 24, 7)	0	1	1	
(30, 12, 14, 0)	0	1	1	
(1, 21, 21, 12)	2	0	-2	
(17, 18, 30, 13)	0	2	2	
(30, 20, 30)	218	178	-40	
(19, 5, 12)	1	0	-1	
(22, 30, 22, 22)	6	14	8	
(17, 21, 30, 26)	2	2	0	
(24, 30, 12, 18)	1	0	-1	
(19, 4)	37	24	-13	
(2, 4, 30, 18)	0	2	2	
(13, 21, 5)	1	0	-1	
(0, 30, 0, 26)	0	1	1	
(19, 2, 30, 27)	1	0	-1	
(30, 12, 21, 11)	1	0	-1	
(30, 20, 17, 30)	9	8	-1	
(18, 7, 3, 30)	16	21	5	
(3, 19, 30, 4)	2	1	-1	
(13, 30, 1, 2)	1	0	-1	
(30, 3, 24)	2	4	2	
(26, 30, 1, 21)	2	0	-2	
(30, 17, 19, 12)	0	1	1	
(4, 30, 6, 7)	0	1	1	
(21, 18, 13, 17)	0	3	3	
(0, 12, 30, 21)	4	5	1	
(23, 9)	1	0	-1	
(17, 30, 22, 15)	0	1	1	
(21, 21, 23, 30)	0	1	1	
(8, 10, 8)	0	1	1	
(9, 30, 25, 3)	1	3	2	
(17, 7, 22)	1	7	6	
(12, 30, 16, 27)	1	0	-1	
(12, 26, 30, 0)	1	3	2	
(16, 4, 30)	2	0	-2	
(4, 0, 30, 22)	0	6	6	
(21, 10, 30, 23)	0	1	1	
(14, 30, 25, 21)	1	0	-1	
(12, 30, 4, 14)	0	2	2	
(17, 30, 18, 13)	13	9	-4	
(24, 30, 10, 21)	1	2	1	
(17, 18, 6)	4	2	-2	
(9, 27, 30, 9)	1	0	-1	
(14, 17, 30, 7)	0	1	1	
(6, 3, 30, 21)	13	9	-4	
(2, 0, 30, 21)	1	1	0	
(11, 26)	1	0	-1	
(2, 30, 20)	11	1	-10	
(30, 25, 21, 5)	2	3	1	
(18, 1, 30, 12)	24	1	-23	
(18, 18, 18, 30)	7	4	-3	
(3, 18, 30, 22)	2	3	1	
(4, 30, 4, 2)	3	0	-3	
(7, 12, 30, 3)	1	0	-1	
(7, 30, 17, 15)	2	0	-2	
(0, 2, 7, 4)	0	1	1	
(15, 21, 30, 18)	1	2	1	
(18, 30, 0, 18)	1	0	-1	
(17, 21, 3, 30)	4	4	0	
(12, 18, 13, 30)	3	1	-2	
(24, 30, 17, 6)	1	0	-1	
(30, 4, 30, 28)	34	60	26	
(22, 30, 6, 5)	1	2	1	
(0, 21, 30, 11)	5	1	-4	
(4, 12, 10, 30)	1	0	-1	
(21, 2, 12, 30)	1	0	-1	
(24, 21, 30, 1)	3	0	-3	
(28, 10, 17)	0	1	1	
(30, 3, 27, 6)	1	1	0	
(0, 2, 30, 22)	1	6	5	
(30, 17, 14, 0)	0	1	1	
(30, 25, 18, 18)	1	0	-1	
(18, 0, 2, 2)	1	1	0	
(23, 30, 25, 30)	60	49	-11	
(28, 28, 30, 19)	1	0	-1	
(4, 28, 30)	3	4	1	
(30, 17, 2, 21)	7	3	-4	
(17, 17, 8, 30)	1	0	-1	
(7, 8, 4, 17)	1	0	-1	
(30, 4, 21, 15)	2	0	-2	
(12, 30, 25, 16)	0	1	1	
(30, 12, 17, 21)	17	13	-4	
(1, 17, 30, 22)	1	0	-1	
(4, 30, 22, 18)	0	1	1	
(17, 30, 21, 21)	98	114	16	
(25, 17, 30, 24)	3	2	-1	
(30, 3, 1)	47	6	-41	
(2, 1, 30, 17)	1	0	-1	
(17, 21, 21, 30)	10	9	-1	
(4, 12, 21, 1)	5	1	-4	
(30, 12, 30, 23)	50	43	-7	
(17, 3)	165	175	10	
(30, 7, 30, 16)	4	5	1	
(19, 12, 18, 30)	5	0	-5	
(17, 3, 30, 10)	1	0	-1	
(18, 19, 30, 25)	0	1	1	
(3, 14, 30, 17)	1	1	0	
(17, 30, 18, 1)	43	8	-35	
(18, 0, 21, 30)	74	59	-15	
(22, 30, 0, 12)	1	1	0	
(26, 10, 30, 24)	1	0	-1	
(30, 8, 30, 23)	4	3	-1	
(1, 30, 12, 13)	3	0	-3	
(25, 30, 20, 30)	4	8	4	
(30, 17, 12, 1)	3	0	-3	
(3, 17, 0)	33	92	59	
(1, 30, 24, 30)	18	5	-13	
(7, 30, 12, 17)	2	3	1	
(7, 3, 22)	0	1	1	
(30, 17, 0, 22)	9	22	13	
(21, 17, 0, 3)	1	5	4	
(6, 4, 30)	19	18	-1	
(14, 30, 0, 16)	0	1	1	
(27, 30, 7, 19)	0	4	4	
(30, 8, 17, 7)	0	1	1	
(1, 21, 18, 30)	3	1	-2	
(30, 9, 17, 20)	1	0	-1	
(30, 3, 2, 21)	0	2	2	
(30, 21, 27, 2)	0	1	1	
(4, 22, 4, 22)	0	1	1	
(7, 30, 21, 9)	1	0	-1	
(14, 7, 30, 21)	0	1	1	
(30, 7, 24, 17)	1	0	-1	
(25, 3, 30, 23)	1	2	1	
(27, 30, 0, 3)	1	4	3	
(30, 0, 20, 17)	0	1	1	
(30, 8, 8, 7)	2	5	3	
(13, 30, 8, 17)	1	0	-1	
(21, 27, 30, 4)	7	11	4	
(5, 30, 3, 17)	18	17	-1	
(6, 17, 30, 27)	0	1	1	
(30, 17, 30, 21)	4871	5069	198	
(1, 30, 14, 30)	15	2	-13	
(28, 30, 27, 27)	1	0	-1	
(30, 9, 30, 11)	3	9	6	
(17, 5, 30, 15)	1	1	0	
(30, 17, 18, 6)	2	2	0	
(2, 21, 11)	1	0	-1	
(11, 4, 17)	14	4	-10	
(4, 30, 7, 19)	14	9	-5	
(0, 19, 27)	0	1	1	
(1, 21, 4, 30)	1	0	-1	
(1, 3, 25, 30)	3	0	-3	
(30, 21, 12, 30)	668	559	-109	
(4, 17, 30, 4)	78	73	-5	
(30, 4, 17, 1)	7	1	-6	
(0, 7, 30, 21)	0	5	5	
(3, 7, 4, 30)	1	0	-1	
(1, 7, 7, 22)	1	0	-1	
(30, 3, 1, 4)	5	2	-3	
(0, 0, 5)	1	0	-1	
(27, 3, 30, 11)	1	2	1	
(27, 5)	2	3	1	
(30, 3, 4, 10)	1	0	-1	
(12, 30, 17, 7)	3	8	5	
(1, 30, 3, 11)	0	3	3	
(4, 4, 21, 13)	1	0	-1	
(21, 10, 30, 4)	4	2	-2	
(28, 3)	4	11	7	
(18, 30, 6, 19)	0	1	1	
(24, 12, 30, 4)	1	0	-1	
(15, 30, 17, 19)	1	0	-1	
(3, 2, 21)	0	2	2	
(21, 15, 30, 17)	4	0	-4	
(12, 10, 30, 21)	0	3	3	
(9, 30, 17, 7)	0	2	2	
(17, 7, 4)	14	21	7	
(1, 30, 8, 3)	1	0	-1	
(16, 4, 12)	1	0	-1	
(6, 21, 30, 4)	1	3	2	
(12, 30, 12, 18)	11	6	-5	
(17, 17, 30, 4)	22	14	-8	
(17, 30, 22, 19)	0	1	1	
(12, 30, 5)	243	254	11	
(30, 4, 3, 21)	4	3	-1	
(3, 0, 30, 27)	0	3	3	
(6, 4, 17)	0	2	2	
(7, 7, 1, 4)	1	0	-1	
(30, 27, 0)	5	18	13	
(27, 0, 30, 17)	0	1	1	
(19, 22, 30, 3)	1	0	-1	
(23, 21, 17, 30)	2	1	-1	
(6, 5)	89	154	65	
(25, 30, 21, 25)	11	9	-2	
(28, 30, 20, 21)	1	0	-1	
(30, 17, 13, 30)	49	43	-6	
(18, 30, 8, 30)	51	66	15	
(17, 15, 30)	25	21	-4	
(19, 30, 3, 5)	0	1	1	
(17, 30, 24, 12)	1	2	1	
(3, 12, 30, 27)	3	0	-3	
(12, 1, 2)	10	4	-6	
(2, 21, 0)	2	4	2	
(0, 19, 16)	0	1	1	
(2, 19, 30, 18)	2	2	0	
(15, 30, 24)	6	2	-4	
(23, 30, 21, 1)	2	0	-2	
(7, 30, 1)	103	25	-78	
(10, 30, 12, 13)	0	2	2	
(17, 0, 30, 2)	9	24	15	
(30, 7, 10, 7)	0	1	1	
(12, 30, 21, 9)	0	1	1	
(30, 10, 30, 13)	2	6	4	
(30, 17, 19, 17)	1	0	-1	
(30, 21, 17, 22)	1	1	0	
(18, 22, 30, 3)	1	0	-1	
(10, 0, 30, 17)	0	1	1	
(4, 30, 6, 28)	0	1	1	
(19, 30, 1, 4)	11	1	-10	
(4, 27, 30, 8)	1	0	-1	
(3, 2, 2)	2	1	-1	
(0, 17, 30, 25)	5	4	-1	
(23, 21, 30, 22)	2	1	-1	
(25, 30, 12, 18)	8	5	-3	
(4, 30, 21, 5)	5	3	-2	
(5, 30, 13, 25)	0	1	1	
(20, 30, 21)	39	34	-5	
(12, 30, 12)	661	446	-215	
(21, 12, 30, 6)	3	6	3	
(21, 5, 2, 30)	1	0	-1	
(21, 0, 19)	1	1	0	
(30, 27, 25)	4	4	0	
(30, 4, 27, 12)	0	1	1	
(23, 1, 30)	2	0	-2	
(0, 27)	39	73	34	
(19, 30, 6, 19)	0	1	1	
(21, 21, 30, 21)	175	187	12	
(22, 30, 3, 11)	1	0	-1	
(6, 27, 30, 6)	0	2	2	
(12, 30, 27, 30)	62	79	17	
(17, 3, 4, 30)	0	1	1	
(17, 25, 17, 30)	6	3	-3	
(18, 1, 18, 30)	2	0	-2	
(10, 3, 30, 11)	2	0	-2	
(30, 3, 30, 22)	218	302	84	
(19, 21, 25)	1	2	1	
(18, 8, 3, 0)	0	1	1	
(15, 21, 17)	1	2	1	
(3, 18, 30, 13)	0	2	2	
(24, 4, 24)	0	1	1	
(30, 22, 21, 21)	5	5	0	
(18, 1, 30, 25)	15	4	-11	
(22, 30, 10, 3)	1	0	-1	
(21, 21, 19)	2	3	1	
(0, 21, 18, 1)	1	0	-1	
(30, 22, 1, 22)	1	0	-1	
(30, 26, 3, 17)	0	1	1	
(16, 21, 12, 30)	1	0	-1	
(4, 6)	6	4	-2	
(9, 30, 27, 27)	0	1	1	
(30, 27, 3, 14)	1	0	-1	
(30, 3, 7, 4)	1	0	-1	
(0, 21, 30, 22)	4	7	3	
(0, 8, 30, 4)	2	0	-2	
(24, 21, 30, 28)	1	0	-1	
(10, 11, 11)	1	0	-1	
(18, 30, 7, 7)	0	3	3	
(7, 30, 14)	9	23	14	
(10, 30, 0, 3)	1	7	6	
(18, 1, 4, 30)	34	2	-32	
(1, 3, 27)	4	2	-2	
(9, 21, 30, 22)	0	3	3	
(18, 18, 7)	9	9	0	
(14, 3, 30, 19)	1	0	-1	
(30, 7, 2, 30)	21	28	7	
(30, 12, 17, 13)	1	1	0	
(14, 27, 30, 5)	1	0	-1	
(30, 0, 2, 12)	4	2	-2	
(22, 30, 10, 21)	5	2	-3	
(2, 30, 0, 15)	0	1	1	
(30, 18, 1, 4)	37	3	-34	
(30, 12, 8, 30)	2	8	6	
(30, 26, 5, 30)	3	5	2	
(17, 6, 22, 17)	0	2	2	
(18, 19, 30, 4)	1	0	-1	
(10, 3, 17)	8	4	-4	
(30, 5, 30, 21)	844	761	-83	
(17, 5, 21, 12)	1	0	-1	
(30, 14, 2)	1	2	1	
(20, 30, 12)	15	26	11	
(14, 30, 3, 17)	6	4	-2	
(1, 8, 21, 21)	0	1	1	
(12, 30, 23)	60	52	-8	
(27, 8, 30, 18)	0	2	2	
(13, 17, 2, 30)	1	0	-1	
(21, 1, 12, 21)	1	0	-1	
(4, 21, 30, 2)	19	24	5	
(21, 0, 24)	3	0	-3	
(7, 25, 30, 4)	0	2	2	
(30, 27, 18)	5	15	10	
(0, 3, 30, 15)	0	9	9	
(3, 27, 0, 30)	0	6	6	
(0, 28, 21, 30)	1	0	-1	
(13, 30, 3, 30)	105	97	-8	
(12, 17, 30, 24)	0	1	1	
(20, 30, 21, 13)	0	1	1	
(30, 17, 21, 18)	4	2	-2	
(12, 17, 15)	1	1	0	
(1, 3, 30, 10)	5	1	-4	
(17, 26, 30, 1)	0	1	1	
(21, 3, 30, 23)	4	2	-2	
(16, 18, 1)	1	0	-1	
(21, 27, 30, 25)	3	1	-2	
(28, 30, 7, 21)	0	2	2	
(10, 17, 30, 5)	1	1	0	
(13, 21, 30, 1)	4	0	-4	
(30, 3, 11, 30)	16	9	-7	
(30, 17, 30, 8)	284	265	-19	
(0, 21, 30, 24)	3	1	-2	
(30, 19, 8)	2	1	-1	
(4, 30, 19, 21)	18	29	11	
(0, 19, 6)	0	1	1	
(15, 30, 14)	4	6	2	
(6, 10, 30, 5)	1	0	-1	
(7, 30, 23)	16	28	12	
(12, 3, 26, 21)	1	0	-1	
(18, 7, 22)	2	8	6	
(13, 30, 17, 30)	145	159	14	
(30, 26, 30, 11)	11	8	-3	
(6, 5, 21, 30)	6	8	2	
(25, 30, 3, 25)	13	14	1	
(7, 21, 30, 27)	2	4	2	
(30, 0, 19, 21)	1	7	6	
(4, 14, 18, 30)	0	1	1	
(18, 30, 18, 25)	1	0	-1	
(26, 17, 18, 7)	0	1	1	
(10, 30, 27, 21)	0	3	3	
(30, 4, 12, 7)	4	3	-1	
(30, 26, 21, 3)	0	1	1	
(17, 6, 6, 30)	1	0	-1	
(24, 17, 21)	0	1	1	
(18, 30, 6, 12)	0	1	1	
(4, 30, 27, 12)	0	1	1	
(11, 12, 2)	1	0	-1	
(21, 2, 30, 19)	3	4	1	
(19, 21, 19, 21)	1	0	-1	
(6, 30)	3671	4931	1260	
(21, 26, 30, 13)	1	0	-1	
(20, 30, 7)	3	3	0	
(30, 17, 17, 1)	43	3	-40	
(15, 30, 6, 21)	0	1	1	
(1, 9, 30)	4	0	-4	
(1, 5, 30, 15)	1	0	-1	
(4, 1, 4, 22)	1	0	-1	
(17, 17, 4, 30)	1	3	2	
(0, 21, 1, 30)	1	0	-1	
(18, 30, 1, 27)	2	0	-2	
(30, 0, 17, 22)	0	1	1	
(2, 30, 19, 19)	1	2	1	
(25, 30, 9, 3)	3	1	-2	
(11, 28, 30, 2)	1	0	-1	
(30, 27, 2, 4)	0	2	2	
(8, 10)	9	11	2	
(19, 21, 30)	336	357	21	
(3, 26, 26)	0	1	1	
(12, 17, 0)	9	5	-4	
(27, 2, 30, 10)	1	0	-1	
(12, 3, 17, 4)	0	1	1	
(1, 21, 0)	0	1	1	
(2, 6, 2, 30)	0	1	1	
(3, 17, 30, 25)	34	42	8	
(7, 19, 30, 0)	0	2	2	
(21, 21, 5)	1	1	0	
(30, 6, 3)	68	71	3	
(13, 30, 12, 18)	1	1	0	
(20, 21, 30, 10)	1	1	0	
(21, 11, 3)	0	2	2	
(19, 19, 21)	3	3	0	
(25, 30, 6, 19)	1	0	-1	
(5, 30, 7, 28)	0	2	2	
(4, 4, 30, 25)	2	2	0	
(21, 14, 30, 16)	0	1	1	
(30, 19, 17)	96	104	8	
(30, 0, 15, 21)	5	1	-4	
(18, 30, 15, 3)	1	0	-1	
(18, 1, 3)	127	5	-122	
(12, 5)	3	4	1	
(7, 30, 28)	16	31	15	
(30, 22, 16, 4)	1	0	-1	
(2, 30, 1, 3)	27	1	-26	
(18, 18, 21)	4	2	-2	
(5, 14, 30, 4)	0	1	1	
(3, 30, 6, 30)	204	331	127	
(17, 11, 30, 6)	3	0	-3	
(22, 17, 30, 6)	0	2	2	
(17, 4, 21, 27)	0	1	1	
(25, 18, 6)	2	5	3	
(2, 2, 30, 22)	1	1	0	
(30, 27, 8, 30)	2	3	1	
(2, 26, 10, 12)	0	1	1	
(24, 17, 30)	27	7	-20	
(10, 30, 3, 12)	1	1	0	
(15, 30, 21, 30)	225	150	-75	
(30, 0, 30, 19)	94	245	151	
(3, 21, 30, 28)	13	12	-1	
(17, 12, 21)	23	7	-16	
(3, 30, 11, 11)	14	4	-10	
(0, 14, 30, 21)	0	3	3	
(7, 9, 30, 25)	0	1	1	
(18, 30, 17, 4)	2	4	2	
(12, 7, 30, 25)	3	2	-1	
(30, 0, 1, 3)	9	0	-9	
(30, 4, 15, 30)	1	4	3	
(30, 22, 18, 7)	0	3	3	
(2, 30, 3, 0)	0	3	3	
(21, 30, 17, 18)	25	26	1	
(21, 8, 30, 27)	0	2	2	
(1, 21, 21)	20	5	-15	
(30, 23, 12, 3)	1	0	-1	
(30, 27, 6, 30)	1	2	1	
(5, 25, 30, 28)	1	1	0	
(25, 30, 17, 20)	0	1	1	
(12, 17, 25)	1	1	0	
(10, 30, 17, 8)	1	1	0	
(12, 21, 0, 14)	1	0	-1	
(15, 30, 7, 30)	11	14	3	
(21, 19, 30, 8)	0	1	1	
(22, 21, 30, 27)	3	1	-2	
(18, 30, 12, 17)	10	6	-4	
(0, 3, 11)	1	0	-1	
(21, 21, 12)	24	15	-9	
(10, 30, 5, 21)	9	4	-5	
(30, 6, 10)	3	6	3	
(30, 0, 28, 30)	7	28	21	
(22, 7)	9	3	-6	
(23, 12, 30, 21)	1	3	2	
(5, 1, 3)	1	0	-1	
(30, 18, 30, 26)	26	35	9	
(30, 23, 1, 30)	2	0	-2	
(21, 27, 1, 4)	1	0	-1	
(3, 25, 30, 26)	1	0	-1	
(12, 4, 21)	0	4	4	
(30, 10, 30, 20)	3	7	4	
(17, 4, 0)	1	0	-1	
(30, 18, 18, 1)	19	2	-17	
(7, 5, 30, 4)	0	1	1	
(18, 10, 30, 3)	17	0	-17	
(21, 30, 19, 17)	17	20	3	
(8, 30, 6, 21)	0	1	1	
(4, 22, 30, 7)	0	3	3	
(0, 4, 30, 18)	12	33	21	
(17, 5, 17, 30)	2	3	1	
(20, 30, 3, 14)	0	1	1	
(30, 0, 14, 30)	1	6	5	
(2, 30, 12, 25)	3	1	-2	
(3, 30, 14, 1)	1	0	-1	
(5, 28, 30, 21)	0	1	1	
(30, 0, 2, 17)	10	17	7	
(30, 4, 0, 22)	0	5	5	
(10, 21, 30, 15)	0	1	1	
(0, 27, 14)	1	0	-1	
(30, 23, 23, 30)	2	0	-2	
(13, 25, 30, 3)	0	1	1	
(14, 4, 30, 17)	1	1	0	
(17, 25, 30, 0)	3	1	-2	
(14, 17, 30)	5	15	10	
(24, 3, 21, 30)	0	1	1	
(3, 30, 7, 25)	1	2	1	
(3, 2, 30, 25)	1	1	0	
(6, 30, 2, 21)	1	2	1	
(6, 22, 30, 3)	1	0	-1	
(30, 22, 30, 25)	29	58	29	
(2, 30, 7, 2)	1	1	0	
(26, 8, 30, 8)	1	1	0	
(7, 4, 25)	1	0	-1	
(30, 14, 30, 19)	2	11	9	
(30, 27, 3, 21)	7	20	13	
(21, 15, 30, 21)	3	1	-2	
(1, 21, 12)	23	6	-17	
(0, 4, 24, 21)	1	0	-1	
(18, 10, 30, 26)	1	0	-1	
(19, 21, 30, 4)	23	18	-5	
(12, 17, 18)	5	1	-4	
(12, 17, 30, 3)	55	52	-3	
(0, 24, 30, 17)	6	4	-2	
(7, 3, 30, 21)	18	22	4	
(20, 0, 2, 4)	1	0	-1	
(0, 3, 0)	4	14	10	
(9, 30, 10)	8	5	-3	
(18, 17, 12)	1	0	-1	
(21, 6, 30, 17)	9	5	-4	
(30, 1, 2, 21)	12	3	-9	
(30, 5, 0, 4)	1	2	1	
(17, 1, 8, 30)	4	1	-3	
(0, 30, 16, 23)	0	1	1	
(30, 1, 22, 22)	4	0	-4	
(1, 1, 30, 17)	2	0	-2	
(4, 2, 2)	1	1	0	
(5, 15, 30, 8)	0	1	1	
(22, 27, 30, 17)	2	0	-2	
(12, 17, 3, 30)	7	3	-4	
(21, 25, 30, 4)	5	6	1	
(25, 25, 30, 1)	1	1	0	
(30, 0, 3, 21)	72	176	104	
(10, 30, 4, 30)	130	104	-26	
(30, 13, 17)	170	238	68	
